Personnel,Date,Year,Site,Block,Paddock,Plot,Drought,Grazing,PlotID,Soil Moisture,SM again,Same?,TemperatureC,Temp again,Same?,Hi-Clay mode moisture,,,Notes
"Carley, Jill, Ashley",8/18/19,2019,TB,3,2,43,1,HHMMM,43,29.6,29.6,T,36.3,36.3,T,12.4,12.4,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,3,2,48,2,HHMMM,48,33.6,33.6,T,36,36,T,28.8,28.8,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,3,1,52,1,MMMMM,52,33.9,33.9,T,35.6,35.6,T,28.5,28.5,TRUE,
"Carley, Jill, Ashley",8/18/19,2019,TB,3,1,53,2,MMMMM,53,27.7,27.7,T,35.8,35.8,T,20.2,20.2,TRUE,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,1,2,3,1,HHMMM,3,4.1,4.1,T,31.4,31.4,T,,,,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,1,2,4,2,HHMMM,4,5.2,5.2,T,29,29,T,,,,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,1,3,7,2,MLLMM,7,5.3,5.3,T,23.7,23.7,T,,,,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,1,3,9,1,MLLMM,9,8.2,8.2,T,23.8,23.8,T,,,,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,1,1,15,2,MMMMM,15,5.4,5.4,T,28.5,28.5,T,,,,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,1,1,17,1,MMMMM,17,7.4,7.4,T,27.3,27.3,T,,,,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,2,2,20,2,HHMMM,20,7.9,7.9,T,30.8,30.8,T,,,,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,2,2,23,1,HHMMM,23,9.4,9.4,T,30.6,30.6,T,,,,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,2,1,25,1,MMMMM,25,16.1,16.1,T,30.2,30.2,T,,,,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,2,1,29,2,MMMMM,29,9.3,9.3,T,30.8,30.8,T,,,,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,2,3,34,1,MLLMM,34,12.6,12.6,T,30.6,30.6,T,,,,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,2,3,36,2,MLLMM,36,7.0,7,T,30.7,30.7,T,,,,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,3,3,39,1,MLLMM,39,15.2,15.2,T,29.1,29.1,T,,,,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,3,3,41,2,MLLMM,41,20.8,20.8,T,30,30,T,,,,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,3,2,43,1,HHMMM,43,15.0,15,T,30.3,30.3,T,,,,
"Spencer Good, Alex Leslie",8/27/19,2019,TB,3,2,48,2,HHMMM,48,13.9,13.9,T,30.3,30.3,T,,,,
