"","year","site","plot","aerial_basal","Genus_Species","Relative_Cover","Common.Name","Native_Introduced","Functional_Group","Annual_Perennial"
"170",2018,"TB","15","Aerial","Koeleria.macrantha",1.05820105820106,"prairie Junegrass","N","C3","P"
"171",2018,"TB","15","Basal","Koeleria.macrantha",1.16279069767442,"prairie Junegrass","N","C3","P"
"172",2018,"TB","14","Aerial","Koeleria.macrantha",40.6779661016949,"prairie Junegrass","N","C3","P"
"173",2018,"TB","14","Basal","Koeleria.macrantha",44.7368421052632,"prairie Junegrass","N","C3","P"
"174",2018,"TB","17","Aerial","Koeleria.macrantha",24.3243243243243,"prairie Junegrass","N","C3","P"
"175",2018,"TB","17","Basal","Koeleria.macrantha",26.3157894736842,"prairie Junegrass","N","C3","P"
"176",2018,"TB","18","Aerial","Koeleria.macrantha",24.1935483870968,"prairie Junegrass","N","C3","P"
"177",2018,"TB","18","Basal","Koeleria.macrantha",25.974025974026,"prairie Junegrass","N","C3","P"
"178",2018,"TB","53","Aerial","Koeleria.macrantha",19.7530864197531,"prairie Junegrass","N","C3","P"
"179",2018,"TB","53","Basal","Koeleria.macrantha",29.2682926829268,"prairie Junegrass","N","C3","P"
"180",2018,"TB","44","Aerial","Koeleria.macrantha",13.75,"prairie Junegrass","N","C3","P"
"181",2018,"TB","44","Basal","Koeleria.macrantha",14,"prairie Junegrass","N","C3","P"
"182",2018,"TB","48","Aerial","Koeleria.macrantha",29.7872340425532,"prairie Junegrass","N","C3","P"
"183",2018,"TB","48","Basal","Koeleria.macrantha",31.3725490196078,"prairie Junegrass","N","C3","P"
"184",2018,"TB","19","Aerial","Koeleria.macrantha",41.2371134020619,"prairie Junegrass","N","C3","P"
"185",2018,"TB","19","Basal","Koeleria.macrantha",46.1538461538462,"prairie Junegrass","N","C3","P"
"186",2018,"TB","7","Aerial","Koeleria.macrantha",2.08333333333333,"prairie Junegrass","N","C3","P"
"187",2018,"TB","7","Basal","Koeleria.macrantha",1.52671755725191,"prairie Junegrass","N","C3","P"
"188",2018,"TB","12","Aerial","Koeleria.macrantha",24.1379310344828,"prairie Junegrass","N","C3","P"
"189",2018,"TB","12","Basal","Koeleria.macrantha",20,"prairie Junegrass","N","C3","P"
"190",2018,"TB","8","Aerial","Koeleria.macrantha",2.91970802919708,"prairie Junegrass","N","C3","P"
"191",2018,"TB","10","Aerial","Koeleria.macrantha",15.5339805825243,"prairie Junegrass","N","C3","P"
"192",2018,"TB","10","Basal","Koeleria.macrantha",19.047619047619,"prairie Junegrass","N","C3","P"
"193",2018,"TB","9","Aerial","Koeleria.macrantha",11.7647058823529,"prairie Junegrass","N","C3","P"
"194",2018,"TB","9","Basal","Koeleria.macrantha",9.63855421686747,"prairie Junegrass","N","C3","P"
"195",2018,"TB","11","Aerial","Koeleria.macrantha",6.06060606060606,"prairie Junegrass","N","C3","P"
"196",2018,"TB","11","Basal","Koeleria.macrantha",6.45161290322581,"prairie Junegrass","N","C3","P"
"197",2018,"TB","34","Aerial","Koeleria.macrantha",13.5802469135802,"prairie Junegrass","N","C3","P"
"198",2018,"TB","34","Basal","Koeleria.macrantha",11.1111111111111,"prairie Junegrass","N","C3","P"
"199",2018,"TB","36","Aerial","Koeleria.macrantha",21.2389380530973,"prairie Junegrass","N","C3","P"
"200",2018,"TB","36","Basal","Koeleria.macrantha",21.9512195121951,"prairie Junegrass","N","C3","P"
"201",2018,"TB","1","Aerial","Koeleria.macrantha",25.3164556962025,"prairie Junegrass","N","C3","P"
"202",2018,"TB","1","Basal","Koeleria.macrantha",29.0909090909091,"prairie Junegrass","N","C3","P"
"203",2018,"TB","5","Aerial","Koeleria.macrantha",5.55555555555556,"prairie Junegrass","N","C3","P"
"204",2018,"TB","5","Basal","Koeleria.macrantha",6.89655172413793,"prairie Junegrass","N","C3","P"
"205",2018,"TB","30","Aerial","Koeleria.macrantha",5.26315789473684,"prairie Junegrass","N","C3","P"
"206",2018,"TB","30","Basal","Koeleria.macrantha",2.77777777777778,"prairie Junegrass","N","C3","P"
"207",2018,"TB","33","Aerial","Koeleria.macrantha",5.33333333333333,"prairie Junegrass","N","C3","P"
"208",2018,"TB","33","Basal","Koeleria.macrantha",4.25531914893617,"prairie Junegrass","N","C3","P"
"209",2018,"TB","35","Aerial","Koeleria.macrantha",3.10077519379845,"prairie Junegrass","N","C3","P"
"210",2018,"TB","35","Basal","Koeleria.macrantha",2.1978021978022,"prairie Junegrass","N","C3","P"
"211",2018,"TB","4","Aerial","Koeleria.macrantha",6.99300699300699,"prairie Junegrass","N","C3","P"
"212",2018,"TB","4","Basal","Koeleria.macrantha",8.08080808080808,"prairie Junegrass","N","C3","P"
"213",2018,"TB","46","Aerial","Koeleria.macrantha",27.6923076923077,"prairie Junegrass","N","C3","P"
"214",2018,"TB","46","Basal","Koeleria.macrantha",29.5081967213115,"prairie Junegrass","N","C3","P"
"215",2018,"TB","21","Aerial","Koeleria.macrantha",6.10687022900763,"prairie Junegrass","N","C3","P"
"216",2018,"TB","21","Basal","Koeleria.macrantha",3.57142857142857,"prairie Junegrass","N","C3","P"
"217",2018,"TB","27","Aerial","Koeleria.macrantha",12.0481927710843,"prairie Junegrass","N","C3","P"
"218",2018,"TB","27","Basal","Koeleria.macrantha",15.6862745098039,"prairie Junegrass","N","C3","P"
"219",2018,"TB","37","Aerial","Koeleria.macrantha",10.8843537414966,"prairie Junegrass","N","C3","P"
"220",2018,"TB","37","Basal","Koeleria.macrantha",7.61904761904762,"prairie Junegrass","N","C3","P"
"221",2018,"TB","38","Aerial","Koeleria.macrantha",2.35294117647059,"prairie Junegrass","N","C3","P"
"222",2018,"TB","38","Basal","Koeleria.macrantha",1.6,"prairie Junegrass","N","C3","P"
"223",2018,"TB","39","Aerial","Koeleria.macrantha",3.8961038961039,"prairie Junegrass","N","C3","P"
