Year,site,genus_species,species_code,block,plant,percent_green,emerging_leaves,developed_leaves,height_cm,scenesced_leaves,leaf_area_cm,leaf_thickness_mm,wet_weight_g,biomass_mg,leaf_mg,comments
2020,TB,Koeleria_macrantha,KOMA,1,2,15,0,3,27.4,0,1.993,,0.0298,0.028,0.0192,PASM not KOMA
2021,FK,Tragopogon_dubius,TRDU,1,HG,70,0,8,15.6,6,1.987,0.034,0.0245,0.2695,0.0072,
2019,FK,Sphaeralcea_coccinea,SPCO,3,2,95,2,7,10.2,0,1.948,0.029,0.056,0.1783,0.0226,
2020,TB,Koeleria_macrantha,KOMA,3,1,10,0,2,15.3,0,1.944,,0.0368,0.0167,0.0183,Longest
2020,TB,Vicia_americana,VIAM,1,2,95,0,6,31.5,0,1.941,,0.021,0.1,0.0066,
2022,FK,Hesperostipa_comata,HECO,2,LG,80,1,1,22.1,1,1.94,0.029,0.0453,0.0329,0.0194,
2021,TB,Koeleria_macrantha,KOMA,2,LG,95,0,3,9.5,0,1.92,0.045,0.0549,0.0344,0.0234,
2019,FK,Tragopogon_dubius,TRDU,3,2,98,2,14,29.4,8,1.885,0.026,0.039,0.6843,0.0098,
2022,TB,Pascopyrum_smithii,PASM,3,MG,80,2,3,17.9,0,1.88,0.035,0.0529,0.126,0.0196,
2020,FK,Tragopogon_dubius,TRDU,1,1,75,1,5,27.9,7,1.846,,0.0291,0.4016,0.007,
2019,FK,Tragopogon_dubius,TRDU,3,3,100,1,6,19.3,4,1.824,0.02,0.063,0.1221,0.0111,
2022,FK,Tragopogon_dubius,TRDU,1,HG,65,0,14,25.3,8,1.82,0.035,0.0401,1.4426,0.0085,
2019,FK,Sphaeralcea_coccinea,SPCO,3,1,100,8,10,13,0,1.794,0.029,0.065,0.3566,0.023,
2020,TB,Koeleria_macrantha,KOMA,3,3,40,1,1,13,2,1.78,,0.0417,0.0212,0.0193,PASM
2022,FK,Tragopogon_dubius,TRDU,1,MG,75,6,10,30.2,7,1.78,0.027,0.0366,1.1993,0.0078,
2022,TB,Vicia_americana,VIAM,2,HG,99,1,11,11.7,0,1.78,0.035,0.0381,0.1231,0.0102,
2022,TB,Vicia_americana,VIAM,2,MG,70,1,8,11.5,2,1.78,0.032,0.0427,0.1277,0.0111,
2022,FK,Koeleria_macrantha,KOMA,1,MG,98,2,2,11.3,0,1.76,0.032,0.0477,0.0365,0.0192,
2022,TB,Vicia_americana,VIAM,2,LG,90,3,13,6.9,0,1.76,0.056,0.0488,0.123,0.0124,
2019,TB,Vicia_americana,VIAM,1,2,100,3,13,53.8,0,1.742,0.019,0.034,0.5151,0.0104,
2019,TB,Koeleria_macrantha,KOMA,1,2,85,1,2,12,1,1.736,0.037,0.038,0.0487,0.0153,
2021,FK,Sphaeralcea_coccinea,SPCO,1,MG,90,1,7,6,3,1.73,0.04,0.0413,0.1229,0.0177,
2021,TB,Koeleria_macrantha,KOMA,2,HG,95,0,3,9.8,0,1.72,0.044,0.0459,0.0225,0.0195,
2021,FK,Sphaeralcea_coccinea,SPCO,2,LG,85,2,9,4,0,1.715,0.039,0.0359,0.1531,0.0156,
2020,TB,Vicia_americana,VIAM,1,3,90,1,9,12,6,1.701,,0.031,0.2702,0.0097,
2020,TB,Koeleria_macrantha,KOMA,2,3,90,1,2,14.8,2,1.692,,0.0391,0.0305,0.0173,
2021,FK,Sphaeralcea_coccinea,SPCO,1,LG,90,0,7,6.8,1,1.685,0.07,0.0415,,0.0176,
2019,TB,Pascopyrum_smithii,PASM,2,6,90,1,3,19.7,0,1.682,0.033,0.074,0.1004,0.0271,
2020,FK,Tragopogon_dubius,TRDU,3,3,30,0,3,46.7,19,1.664,,0.0267,1.4672,0.0056,
2022,TB,Pascopyrum_smithii,PASM,3,LG,85,1,3,16,1,1.66,0.04,0.0495,0.0956,0.0198,
2022,FK,Sphaeralcea_coccinea,SPCO,2,HG,85,1,4,7.5,1,1.63,0.039,0.0391,0.0639,0.0147,
2020,TB,Vicia_americana,VIAM,3,2,70,0,4,15,8,1.608,,0.0496,0.1117,0.0085,
2020,FK,Tragopogon_dubius,TRDU,2,1,20,0,5,31,10,1.605,,0.0265,0.4595,0.0037,
2021,FK,Koeleria_macrantha,KOMA,3,MG,90,0,3,7.4,1,1.6,0.038,0.0302,0.0086,0.0114,
2022,TB,Koeleria_macrantha,KOMA,2,HG,80,1,2,9.7,0,1.6,0.034,0.0455,0.026,0.0171,
2022,TB,Koeleria_macrantha,KOMA,3,LG,85,1,2,10.7,0,1.6,0.033,0.0445,0.0246,0.0183,
